name,brand,price,currency,currency_symbol,stock,image,category
Realme Mobile Model 1,Realme,79622,INR,₹,56,https://source.unsplash.com/400x400/?smartphone&sig=1,Mobiles
Samsung Mobile Model 2,Samsung,79432,INR,₹,58,https://source.unsplash.com/400x400/?smartphone&sig=2,Mobiles
Apple Mobile Model 3,Apple,95075,INR,₹,194,https://source.unsplash.com/400x400/?smartphone&sig=3,Mobiles
Vivo Mobile Model 4,Vivo,33920,INR,₹,160,https://source.unsplash.com/400x400/?smartphone&sig=4,Mobiles
Xiaomi Mobile Model 5,Xiaomi,73513,INR,₹,14,https://source.unsplash.com/400x400/?smartphone&sig=5,Mobiles
Apple Mobile Model 6,Apple,30708,INR,₹,71,https://source.unsplash.com/400x400/?smartphone&sig=6,Mobiles
Samsung Mobile Model 7,Samsung,41737,INR,₹,155,https://source.unsplash.com/400x400/?smartphone&sig=7,Mobiles
Xiaomi Mobile Model 8,Xiaomi,15930,INR,₹,106,https://source.unsplash.com/400x400/?smartphone&sig=8,Mobiles
Apple Mobile Model 9,Apple,12455,INR,₹,32,https://source.unsplash.com/400x400/?smartphone&sig=9,Mobiles
Apple Mobile Model 10,Apple,52594,INR,₹,55,https://source.unsplash.com/400x400/?smartphone&sig=10,Mobiles
Xiaomi Mobile Model 11,Xiaomi,16702,INR,₹,81,https://source.unsplash.com/400x400/?smartphone&sig=11,Mobiles
Realme Mobile Model 12,Realme,34128,INR,₹,36,https://source.unsplash.com/400x400/?smartphone&sig=12,Mobiles
OnePlus Mobile Model 13,OnePlus,31639,INR,₹,159,https://source.unsplash.com/400x400/?smartphone&sig=13,Mobiles
Apple Mobile Model 14,Apple,98341,INR,₹,162,https://source.unsplash.com/400x400/?smartphone&sig=14,Mobiles
Samsung Mobile Model 15,Samsung,76372,INR,₹,49,https://source.unsplash.com/400x400/?smartphone&sig=15,Mobiles
Apple Mobile Model 16,Apple,98515,INR,₹,82,https://source.unsplash.com/400x400/?smartphone&sig=16,Mobiles
Samsung Mobile Model 17,Samsung,14492,INR,₹,181,https://source.unsplash.com/400x400/?smartphone&sig=17,Mobiles
Xiaomi Mobile Model 18,Xiaomi,65679,INR,₹,88,https://source.unsplash.com/400x400/?smartphone&sig=18,Mobiles
Vivo Mobile Model 19,Vivo,50245,INR,₹,182,https://source.unsplash.com/400x400/?smartphone&sig=19,Mobiles
Realme Mobile Model 20,Realme,90023,INR,₹,109,https://source.unsplash.com/400x400/?smartphone&sig=20,Mobiles
